regionID,regionName,x,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000013,糟粕之域,175707909414576000,175707909414576000,68486867977334400,91441353104261600,146522777958075000,204893040871076000,43221875094774000,93751860859895100,-136571342987508000,-46311363221014800,None,None
10000014,卡彻,-113595452153499000,-113595452153499000,21828796395059000,-200997188121672000,-176804941309964000,-50385962997033900,-10643152813927400,54300745604045200,139121469927840000,262872906315505000,None,None
10000015,维纳尔,-123149072132624000,-123149072132624000,111405178366884000,308325578657564000,-174025244531812000,-72272899733434000,92454439987537200,130355916746234000,-361822060302760000,-254829097012368000,500010,None
10000016,长征,-189171222177239000,-189171222177239000,94552463350949600,155696128982270000,-233466109933311000,-144876334421167000,69990843340574800,119114083361324000,-193878176320107000,-117514081644434000,500001,None
10000017,J7HZ-F,9262044950387990,9262044950387990,81443031428475500,231053798464132000,-30990419959122300,49514509859898300,59874912584642300,103011150272308000,-278250620384737000,-183856976543526000,500005,None
10000018,螺旋之域,232956156642256000,232956156642256000,31778178062885000,23367365618509800,202456187021459000,263456126263052000,-2645094100301930,66201450226071900,-70018197282657500,23283466045637800,None,None
10000019,A821-A,13680672219108900,13680672219108900,70681466135509900,284135649247806000,-6980977234977400,34342321673195100,56667187302576800,84695744968442800,-333999270054646000,-234272028440964000,500005,None
10000020,塔什蒙贡,-211753371863879000,-211753371863879000,62838705971068000,-123934814537664000,-239002211770168000,-184504531957590000,33647274359967700,92030137582168300,88544490553691300,159325138521638000,500003,None
10000021,域外走廊,291498150006238000,291498150006238000,4086283626834610,80307683457889900,253707828044976000,329288471967502000,-57431940876101000,65604508129770200,-147627280712887000,-12988086202892600,None,None
10000022,混浊,-158827678964844000,-158827678964844000,58691190475642400,-309223961465603000,-220896070661676000,-96759287268010400,16401533988548500,100980846962736000,254043792338772000,364404130592435000,500019,None
10000023,黑渊,-260921882715692000,-260921882715692000,78979266191427300,220225532514732000,-319394067132734000,-202449698298648000,36527305406486200,121431226976368000,-238553930773527000,-201897134255936000,None,None
10000025,伊梅瑟亚,21892914159865900,21892914159865900,-3017828945779400,-205784180881657000,-22895386897376800,66681215217108600,-23530339396911300,17494681505352500,165767307374257000,245801054389059000,None,None
10000027,琉蓝之穹,128382041362752000,128382041362752000,56377147096749900,37868198303199900,67955570592463600,188808512133040000,29084806420449200,83669487773050500,-79958405732611200,4222009126211450,None,None
10000028,摩登赫斯,-35722113622288200,-35722113622288200,4350325397619760,-5376103573250500,-57124632275023100,-14319594969553300,-11025569331781400,19726220127020900,-7297437656327950,18049644802829000,500002,None
10000029,对舞之域,-15833926531865600,-15833926531865600,59778184289369000,115546529090020000,-45137480054461200,13469626990730100,23541985779531900,96014382799206000,-137261979990136000,-93831078189904400,None,None
10000030,西玛特尔,-92929285491600700,-92929285491600700,32124391627089500,24148721399369200,-128269338426336000,-57589232556864000,5117709236688720,59131074017490300,-51576774226127800,3279331427389420,500002,None
10000031,绝径,-38606167129705200,-38606167129705200,-1840037937294340,-334948558437468000,-46272153163454400,-30940181095956200,-30528048481020700,26847972606432100,305300973053793000,364596143821145000,None,None
10000032,金纳泽,-181912883076480000,-181912883076480000,41699538786904700,39780738677074200,-218619639817449000,-145206126335510000,14838041011608700,68561036562200700,-85257599295005900,5696121940857440,500004,None
10000033,赛塔德洱,-154620630524368000,-154620630524368000,78594974110412100,104821797629467000,-187991094902497000,-121250166146240000,47332294584113100,109857653636711000,-148876595282702000,-60766999976232400,500001,None
10000034,卡勒瓦拉阔地,133941223410126000,133941223410126000,54809888059021100,94979579378192800,110709276315876000,157173170504376000,28290179526872200,81329596591170000,-130038972058830000,-59920186697555400,None,None
10000035,德克廉,-276352540202200000,-276352540202200000,89769327588659100,310283495605705000,-357288458792001000,-195416621612400000,51805965511940200,127732689665378000,-352811725566156000,-267755265645256000,None,None
10000036,破碎,-141697960063520000,-141697960063520000,58441572274484400,-63334110155348200,-169282385386756000,-114113534740286000,22056522365527300,94826622183441600,30322971680447200,96345248630249200,500003,None
10000037,埃维希尔,-194822013294280000,-194822013294280000,8827663029283090,20255953804920800,-215583579631561000,-174060446956999000,-12533014553205200,30188340611771400,-31215239124872700,-9296668484968890,500004,None
10000038,幽暗之域,-159172230516598000,-159172230516598000,31388510588133000,-50936750365377600,-174834407400640000,-143510053632556000,1703819912406750,61073201263859200,32861581505385500,69011919225369600,500003,None
10000039,埃索特亚,-86787864713685600,-86787864713685600,-16977131982195800,-417232597484758000,-121897659027506000,-51678070399865100,-60129751947834400,26175487983442900,362533200787438000,471931994182076000,None,None
10000040,欧莎,233391636757060000,233391636757060000,63335681505452400,122542259755244000,194254750307968000,272528523206152000,35499276163976200,91172086846928600,-174387649267655000,-70696870242835100,None,None
10000041,辛迪加,-321246237025974000,-321246237025974000,19458130625209900,74164013458830500,-362419022806808000,-280073451245142000,-7412017246704660,46328278497124400,-111626842054836000,-36701184862824200,500009,None
10000042,美特伯里斯,-74267055557312000,-74267055557312000,35798638720555200,45153300095399000,-137997971841352000,-10536139273270900,-6953093208971080,78550370650081600,-79085709291584900,-11220890899213000,500002,None
10000043,多美,-200437833726152000,-200437833726152000,53561700932206800,-81355239085633400,-254049920576990000,-146825746875316000,12999421783769300,94123980080644300,18203772891834400,144506705279432000,500003,None
10000044,孤独之域,-321931746318950000,-321931746318950000,28256329216600400,19276106332841400,-339484138934816000,-304379353703084000,4650554638853240,51862103794347600,-44118642051444800,5566429385762110,500004,None
10000045,特纳,-72287885133620100,-72287885133620100,58340276587659400,433602446107849000,-116748577875112000,-27827192392127100,15107945762421200,101572607412898000,-458300452818907000,-408904439396790000,None,None
10000046,斐德,-293951880420984000,-293951880420984000,58738864363854700,257748117411352000,-321962586144748000,-265941174697220000,34663165880920400,82814562846788800,-262210335614023000,-253285899208680000,None,None
10000047,普罗维登斯,-121750759712200000,-121750759712200000,58495651402332800,-151515874111716000,-147682648205223000,-95818871219178700,31109112724575900,85882190080089600,104761552559676000,198270195663755000,None,None
10000048,宁静之域,-270798690016688000,-270798690016688000,73701796812053600,95464459677699200,-295050806700006000,-246546573333371000,33687292631730900,113716300992376000,-135456400892811000,-55472518462587100,500004,None
10000049,卡尼迪,-318287416184579000,-318287416184579000,20419414094204800,-133487524109219000,-364404836850033000,-272169995519124000,-23375955554404600,64214783742814200,94313193241472400,172661854976964000,500008,None
10000050,逑瑞斯,-363413099563971000,-363413099563971000,53220650446317800,-240706130531268000,-421044001198137000,-305782197929806000,17099563981870700,89341736910764800,178498284629577000,302913976432960000,None,None
10000051,云环,-320933851367644000,-320933851367644000,74422197368443600,146459468769175000,-334343216505568000,-307524486229721000,54504251791135200,94340142945752000,-176405700933116000,-116513236605232000,None,None
10000052,卡多尔,-237297480079980000,-237297480079980000,40680338829849600,-76830967297819200,-265099009094967000,-209495951064995000,14239360364081900,67121317295617500,21947268249072400,131714666346566000,500003,None
10000053,钴蓝边域,292184365554961000,292184365554961000,53493388123815000,204625108850392000,273407634801880000,310961096308044000,33347140400224400,73639635847405600,-264957831553220000,-144292386147564000,None,None
10000054,艾里迪亚,-368177411221382000,-368177411221382000,18612570807884000,-77770315686733200,-413892030804225000,-322462791638537000,-5883182983731610,43108324599499600,38510404670607400,117030226702859000,500003,None
10000055,血脉,-145831957034713000,-145831957034713000,66915247329955600,412717925093977000,-192334882877540000,-99329031191886700,45899826698416200,87930667961494800,-468006802398913000,-357429047789041000,None,None
10000056,非塔波利斯,30647318047262800,30647318047262800,-16097388834061700,-403080457499606000,-13427359251370500,74721995345896100,-47538841307943900,15344063639820500,338718234219339000,467442680779873000,None,None
10000057,外环,-392563738530011000,-392563738530011000,21671932707227800,86377281026647100,-440630233235486000,-344497243824534000,8454685496211170,34889179918244500,-114159691483192000,-58594870570102400,500014,None
10000058,源泉之域,-449013589606488000,-449013589606488000,37227379065383100,-6024369036247570,-503218614776420000,-394808564436556000,12825904470868000,61628853659898000,-52236755323923000,64285493396418200,None,None
10000059,摄魂之域,-113652861165762000,-113652861165762000,-26361011640727300,-471184672814803000,-147103312663208000,-80202409668315800,-47884791640159600,-4837231641294960,462265945308572000,480103400321036000,None,None
10000060,绝地之域,-429369275408752000,-429369275408752000,51426121003625900,-256560110972768000,-465524711410822000,-393213839406681000,20784301985101400,82067940022150400,187448411080600000,325671810864937000,None,None
10000061,特里菲斯,47395435143070300,47395435143070300,-12025278304512600,-285986932642694000,-31142252027931900,125933122314072000,-41257255525995000,17206698916969700,242460862907172000,329513002378214000,None,None
10000062,欧米斯特,100319291593819000,100319291593819000,-27486110166441700,-389560313235004000,52468324379805600,148170258807832000,-46426415059427600,-8545805273455740,368934289108777000,410186337361230000,None,None
10000063,贝斯,-414504229299553000,-414504229299553000,83788485653959900,-386878506419457000,-440202713206803000,-388805745392302000,66106045165950000,101470926141970000,355667366886337000,418089645952577000,None,None
10000064,精华之域,-218476380293208000,-218476380293208000,36079691343274800,53743933634810000,-237409458368697000,-199543302217719000,7633597424402840,64525785262147000,-79609990006493200,-27877877263126800,500004,None
10000065,柯埃佐,-296212317520308000,-296212317520308000,41618648470271600,-104651247949499000,-358902782416633000,-233521852623984000,-1015080651431890,84252377591975300,72820222035818300,136482273863180000,500003,None
10000066,佩利根弗,211874376981372000,211874376981372000,25904748164016500,107107866838870000,176484345431305000,247264408531438000,-5434191277816090,57243687605849000,-165684697545403000,-48531036132337200,None,None
10000067,吉勒西斯,-260029907705174000,-260029907705174000,14889648452313800,-15431994130441300,-299197792151819000,-220862023258528000,-19762699275081500,49541996179709100,-23280212488173200,54144200749055800,500003,None
10000068,维格温铎,-242498312843249000,-242498312843249000,41170103611453900,51557451055966600,-258065601351460000,-226931024335039000,31582533609315800,50757673613592000,-65212930160258000,-37901971951675200,500004,None
10000069,暗涌之域,-222687068034734000,-222687068034734000,77559410642208400,136029596082308000,-303606258828316000,-141767877241152000,-3359780151373490,158478601435790000,-216948786875889000,-55110405288726600,500001,None
10000070,波赫文,-122411864335628000,-122411864335628000,47387680180212200,31918737703135300,-238290946220046000,-6532782451210520,-4522598544370160,99297958904794400,-100531188490154000,164368663896424000,500026,None
11000001,A-R00001,7637617076349290000,7637617076349290000,1539385485286040000,-9497611206336480000,7623729705807830000,7665157295345890000,1518671690517000000,1560099280055060000,9477933517891790000,9519361107429840000,None,None
11000002,A-R00002,7600934527203740000,7600934527203740000,1539372289941680000,-9430502663833180000,7547910222240360000,7660664491887200000,1482995155118260000,1595749424765090000,9373692811784230000,9486447081431070000,None,None
11000003,A-R00003,7661386280000360000,7661386280000360000,1539367788970240000,-9338593801813630000,7609931630741890000,7712858379144850000,1487904414768770000,1590831163171720000,9285124270197140000,9388051018600110000,None,None
11000004,B-R00004,7760336818417940000,7760336818417940000,1539349495218250000,-9340059589515660000,7737126961114470000,7793280410365290000,1511272770592840000,1567426219843680000,9310082659344670000,9366236108595490000,None,None
11000005,B-R00005,7874079523648960000,7874079523648960000,1539375483746460000,-9503071288589080000,7838285280590140000,7927692292804250000,1494671977639400000,1584078989853510000,9457118105404020000,9546525117618130000,None,None
11000006,B-R00006,7831044544147180000,7831044544147180000,1539382673759310000,-9659853503736190000,7799948827056690000,7865467018861040000,1506623577857120000,1572141769661480000,9627248564723830000,9692766756528190000,None,None
11000007,B-R00007,7634045819571990000,7634045819571990000,1539365918889130000,-9732388555647280000,7582131918499590000,7679566586097470000,1490648585090200000,1588083252688090000,9674034319686610000,9771468987284500000,None,None
11000008,B-R00008,7505098631820520000,7505098631820520000,1539344551718560000,-9637129770691960000,7462530995555050000,7542543312478660000,1499338393256750000,1579350710180350000,9596116217610820000,9676128534534440000,None,None
11000009,C-R00009,7756998458470830000,7756998458470830000,1539362847859320000,-9838335106976920000,7733892610273920000,7792430659156670000,1510093823417930000,1568631872300680000,9808324988800120000,9866863037682870000,None,None
11000010,C-R00010,7458020897442190000,7458020897442190000,1539386844078560000,-9700538756680140000,7425735456035600000,7490617757005800000,1506945693593450000,1571827994563660000,9664719860254670000,9729602161224860000,None,None
11000011,C-R00011,7404801088082930000,7404801088082930000,1539415503269780000,-9453566499046530000,7361246485281080000,7444160286740450000,1497958602540100000,1580872403999470000,9412409856560680000,9495323658020050000,None,None
11000012,C-R00012,7467327450977550000,7467327450977550000,1539410948820970000,-9324079843325930000,7425135948559040000,7507803666449810000,1498077089875590000,1580744807766360000,9281225475247840000,9363893193138590000,None,None
11000013,C-R00013,7704331832534580000,7704331832534580000,1539435195291840000,-9219177949355570000,7630566808753080000,7745794371494110000,1481821413921330000,1597048976662360000,9169527536370570000,9284755099111600000,None,None
11000014,C-R00014,7913231764061000000,7913231764061000000,1539411905418890000,-9304069748077330000,7891835899058190000,7933259475845650000,1518700117025150000,1560123693812640000,9288696078764910000,9330119655552380000,None,None
11000015,C-R00015,7974274717456710000,7974274717456710000,1539405967433920000,-9450756025749610000,7937343760644570000,8019086603567080000,1498534545972640000,1580277388895180000,9410153489013360000,9491896331935880000,None,None
11000016,D-R00016,7950412099255820000,7950412099255820000,1539417188591280000,-9645473572355390000,7901779329738460000,7981201563743850000,1499706071588590000,1579128305593970000,9597323281864920000,9676745515870330000,None,None
11000017,D-R00017,7751984075340600000,7751984075340600000,1539422970296850000,-9780708820372810000,7742532050694130000,7786567027004290000,1517405482141780000,1561440458451930000,9747991647592890000,9792026623903030000,None,None
11000018,D-R00018,7568425212096580000,7568425212096580000,1539422759484110000,-9705161757846870000,7524869683523300000,7597828274914010000,1502943463788760000,1575902055179460000,9677409703411180000,9750368294801880000,None,None
11000019,D-R00019,7446369144431120000,7446369144431120000,1539413446685310000,-9564135782886720000,7405238029993790000,7489348788137190000,1497358067613600000,1581468825757010000,9519696541969010000,9603807300112420000,None,None
11000020,D-R00020,7386876286054590000,7386876286054590000,1539436657469120000,-9258460824800780000,7336518038999400000,7450651620673980000,1482369866631830000,1596503448306400000,9198709827110030000,9312843408784600000,None,None
11000021,D-R00021,7575667614415110000,7575667614415110000,1539420791428610000,-9121182970002960000,7531403030956660000,7635739674965990000,1487252469423940000,1591589113433270000,9074551305786470000,9178887949795800000,None,None
11000022,D-R00022,7979890027924380000,7979890027924380000,1539423414900480000,-9211421806146240000,7929642865003240000,8025792183143870000,1491348755830150000,1587498073970780000,9166167670022070000,9262316988162690000,None,None
11000023,D-R00023,8084323841980080000,8084323841980080000,1539401095322680000,-9713010202943850000,8036967474469860000,8143374379736600000,1486197642689300000,1592604547956050000,9653418783323650000,9759825688590400000,None,None
11000024,E-R00024,7171962412864880000,7171962412864880000,1539364134790090000,-9350811708841140000,7115607080392070000,7229234837983560000,1482550255994350000,1596178013585850000,9293875144491160000,9407502902082670000,None,None
11000025,E-R00025,7334821710428270000,7334821710428270000,1539376350729870000,-9110378661974970000,7304784715862420000,7352397124512100000,1515570146405020000,1563182555054720000,9081841178120850000,9129453586770530000,None,None
11000026,E-R00026,7709709849205610000,7709709849205610000,1539351806049760000,-8983960038446700000,7648543757451030000,7767940440005990000,1479653464772300000,1599050147327230000,8922012299595200000,9041408982150160000,None,None
11000027,E-R00027,8177591655159520000,8177591655159520000,1539361932565980000,-9311264611897260000,8130973150192570000,8233286243617240000,1488205385853650000,1590518479278320000,9261823633916950000,9364136727341610000,None,None
11000028,E-R00028,8050512763275060000,8050512763275060000,1539387000103530000,-9892764759783260000,8004289386676120000,8096104457479020000,1493479464702080000,1585294535504980000,9849345444957310000,9941160515760200000,None,None
11000029,E-R00029,7593303031066820000,7593303031066820000,1539366959543490000,-10013072297253600000,7563671925360780000,7612134282308790000,1515135781069480000,1563598138017490000,9983430548021490000,10031892904969500000,None,None
11000030,F-R00030,7305532907080500000,7305532907080500000,1539388528743360000,-9838448405941430000,7241869510086280000,7360325025330140000,1480160771121440000,1598616286365290000,9777642277831840000,9896097793075700000,None,None
11000031,G-R00031,7205500000000000000,7205500000000000000,1539300000000000000,-9538400000000000000,7141800000000000000,7260300000000000000,1480100000000000000,1598600000000000000,9477600000000000000,9596000000000000000,None,None
11000032,H-R00032,7536356782802140000,7536356782802140000,1539240548011390000,-9744159706750420000,7386356782802140000,7686356782802140000,1389240548011390000,1689240548011390000,-9894159706750420000,-9594159706750420000,None,None
11000033,K-R00033,6740235039820440000,6740235039820440000,1539280797403170000,-9713256053927880000,6590235039820440000,6890235039820440000,1389280797403170000,1689280797403170000,-9863256053927880000,-9563256053927880000,None,None
12000001,ADR01,5332454814931090000,5332454814931090000,6032700368271840000,-8324663071957520000,5182454814931090000,5482454814931090000,5882700368271840000,6182700368271840000,-8474663071957520000,-8174663071957520000,None,None
12000002,ADR02,5034040109070720000,5034040109070720000,4624302468910480000,-9032456813257290000,4884040109070720000,5184040109070720000,4474302468910470000,4774302468910480000,-9182456813257290000,-8882456813257290000,None,None
12000003,ADR03,6174725715457210000,6174725715457210000,4914357726000970000,-8717885681374310000,6024725715457210000,6324725715457210000,4764357726000970000,5064357726000970000,-8867885681374310000,-8567885681374310000,None,None
12000004,ADR04,2242403240434630000,2242403240434630000,4815854669694620000,-7553306654028010000,2092403240434630000,2392403240434630000,4665854669694620000,4965854669694620000,-7703306654028010000,-7403306654028010000,None,None
12000005,ADR05,3566457038685740000,3566457038685740000,5327335743611320000,-5457243999556040000,3416457038685740000,3716457038685740000,5177335743611320000,5477335743611320000,-5607243999556040000,-5307243999556040000,None,None
13000001,PR-01,10021062147228300000,10021062147228300000,-940800961435038000,5187111540381890000,9871062147228430000,10171062147228300000,-1090800961435040000,-790800961435038000,5037111540381890000,5337111540381890000,None,None
